"","doy","t","temp","seas","thresh","X5Ev"
"3432",146,1991-05-25,24.4,21.6873,24.9236,0
"3433",147,1991-05-26,25.3,21.8602,25.094,1
"3434",148,1991-05-27,26.2,22.0319,25.2609,1
"3435",149,1991-05-28,27,22.2011,25.4295,1
"3436",150,1991-05-29,27.3,22.3695,25.6025,1
"3437",151,1991-05-30,27.4,22.5376,25.7773,1
"3438",152,1991-05-31,28.4,22.7064,25.9525,1
"3439",153,1991-06-01,28.5,22.8766,26.1302,1
"3440",154,1991-06-02,28.6,23.0476,26.2985,1
"3441",155,1991-06-03,28.8,23.2198,26.4651,1
"3442",156,1991-06-04,28.8,23.3916,26.626,1
"3443",157,1991-06-05,24.9,23.5615,26.7773,0
"3444",158,1991-06-06,22.4,23.7317,26.9273,0
"3445",159,1991-06-07,21.9,23.9032,27.0724,0
"3446",160,1991-06-08,22.8,24.0759,27.2134,0
"3447",161,1991-06-09,23.6,24.2477,27.3438,0
"3448",162,1991-06-10,24.5,24.4164,27.4598,0
"3449",163,1991-06-11,24.8,24.5795,27.5645,0
"3450",164,1991-06-12,25.2,24.7359,27.6605,0
"3451",165,1991-06-13,25.3,24.8861,27.7494,0
"3452",166,1991-06-14,24.6,25.0319,27.8335,0
"3453",167,1991-06-15,25.9,25.1744,27.9174,0
"3454",168,1991-06-16,27.2,25.316,28.0045,0
"3455",169,1991-06-17,28.6,25.4559,28.0974,0
"3456",170,1991-06-18,29.1,25.5936,28.1961,0
"3457",171,1991-06-19,27.2,25.7273,28.2965,0
"3458",172,1991-06-20,26.5,25.8563,28.3893,0
"3459",173,1991-06-21,26.5,25.9813,28.4834,0
"3460",174,1991-06-22,25,26.1027,28.5679,0
"3461",175,1991-06-23,23.4,26.2216,28.6518,0
"3462",176,1991-06-24,21.9,26.3383,28.7346,0
"3463",177,1991-06-25,23.1,26.4523,28.8157,0
"3464",178,1991-06-26,24,26.563,28.8904,0
"3465",179,1991-06-27,25.1,26.6678,28.9626,0
"3466",180,1991-06-28,26,26.7672,29.0271,0
"3467",181,1991-06-29,27.2,26.8619,29.086,0
"3468",182,1991-06-30,28.4,26.9528,29.1449,0
"3469",183,1991-07-01,29.6,27.0414,29.2005,0
"3470",184,1991-07-02,28.6,27.1281,29.2537,0
"3471",185,1991-07-03,28.8,27.213,29.3084,0
"3472",186,1991-07-04,29,27.296,29.3612,0
"3473",187,1991-07-05,26.5,27.3757,29.4129,0
"3474",188,1991-07-06,27.5,27.4499,29.4668,0
"3475",189,1991-07-07,28.6,27.5184,29.5229,0
"3476",190,1991-07-08,29.6,27.582,29.5798,0
"3477",191,1991-07-09,29.8,27.6402,29.6326,0
"3478",192,1991-07-10,28.9,27.6927,29.6831,0
"3479",193,1991-07-11,28.7,27.7402,29.7347,0
"3480",194,1991-07-12,28.4,27.7829,29.786,0
"3481",195,1991-07-13,28.7,27.8206,29.8372,0
"3482",196,1991-07-14,29,27.8548,29.8848,0
"3483",197,1991-07-15,29.3,27.8865,29.9292,0
"3484",198,1991-07-16,29.5,27.9169,29.9714,0
"3485",199,1991-07-17,28.6,27.9444,30.0087,0
"3486",200,1991-07-18,28.6,27.9678,30.0383,0
"3487",201,1991-07-19,29.2,27.9858,30.0626,0
"3488",202,1991-07-20,29.8,27.9986,30.0835,0
"3489",203,1991-07-21,30.5,28.0071,30.1031,1
"3490",204,1991-07-22,31.1,28.0115,30.1195,1
"3491",205,1991-07-23,31.1,28.0125,30.1343,1
"3492",206,1991-07-24,31.7,28.0114,30.1425,1
"3493",207,1991-07-25,30.7,28.0066,30.1494,1
"3494",208,1991-07-26,29.3,27.9965,30.1491,0
"3495",209,1991-07-27,28.4,27.9814,30.1397,0
"3496",210,1991-07-28,27.4,27.964,30.1236,0
"3497",211,1991-07-29,26.5,27.946,30.1066,0
"3498",212,1991-07-30,24.8,27.9273,30.0879,0
"3499",213,1991-07-31,24.8,27.9065,30.0648,0
"3500",214,1991-08-01,27.3,27.883,30.0394,0
"3501",215,1991-08-02,27.6,27.856,30.011,0
"3502",216,1991-08-03,28.3,27.8249,29.9775,0
"3503",217,1991-08-04,29,27.7882,29.9411,0
"3504",218,1991-08-05,29.7,27.7479,29.9016,0
"3505",219,1991-08-06,28.9,27.7059,29.8585,0
"3506",220,1991-08-07,28.4,27.6622,29.8121,0
"3507",221,1991-08-08,27.3,27.6167,29.7584,0
"3508",222,1991-08-09,27.1,27.57,29.7023,0
"3509",223,1991-08-10,27.1,27.5237,29.6463,0
"3510",224,1991-08-11,27.1,27.4778,29.586,0
"3511",225,1991-08-12,27,27.431,29.5214,0
"3512",226,1991-08-13,27.5,27.3837,29.4557,0
"3513",227,1991-08-14,28.1,27.3348,29.3924,0
"3514",228,1991-08-15,27.9,27.2835,29.333,0
"3515",229,1991-08-16,27.1,27.2285,29.274,0
"3516",230,1991-08-17,27.3,27.1694,29.2139,0
"3517",231,1991-08-18,27.4,27.1069,29.1556,0
"3518",232,1991-08-19,27.5,27.0421,29.0931,0
"3519",233,1991-08-20,27.2,26.9747,29.027,0
"3520",234,1991-08-21,26.7,26.9039,28.957,0
"3521",235,1991-08-22,27.5,26.8306,28.8829,0
"3522",236,1991-08-23,27.2,26.7548,28.8075,0
"3523",237,1991-08-24,26.7,26.676,28.7297,0
"3524",238,1991-08-25,26.2,26.5965,28.6496,0
"3525",239,1991-08-26,25.7,26.5178,28.568,0
"3526",240,1991-08-27,26,26.4389,28.4884,0
"3527",241,1991-08-28,27.5,26.3571,28.4114,0
"3528",242,1991-08-29,28,26.2708,28.3342,0
"3529",243,1991-08-30,29.3,26.1795,28.2549,0
"3530",244,1991-08-31,27.7,26.0833,28.1719,0
"3531",245,1991-09-01,26.1,25.9823,28.0858,0
"3532",246,1991-09-02,24.5,25.8775,27.9952,0
"3533",247,1991-09-03,22.9,25.7696,27.9069,0
"3534",248,1991-09-04,24.5,25.6585,27.8143,0
"3535",249,1991-09-05,25.5,25.5425,27.7208,0
"3536",250,1991-09-06,25.5,25.4208,27.623,0
"3537",251,1991-09-07,25.4,25.2953,27.5164,0
"3538",252,1991-09-08,25.4,25.1678,27.4077,0
"3539",253,1991-09-09,25.3,25.0387,27.3005,0
"3540",254,1991-09-10,25.6,24.9054,27.187,0
"3541",255,1991-09-11,25.8,24.767,27.0722,0
"3542",256,1991-09-12,26.3,24.6236,26.9556,0
"3543",257,1991-09-13,25.6,24.4754,26.834,0
"3544",258,1991-09-14,25.9,24.3235,26.7079,0
"3545",259,1991-09-15,26.2,24.1692,26.5764,0
"3546",260,1991-09-16,26.5,24.012,26.4447,0
"3547",261,1991-09-17,27.5,23.8522,26.3147,0
"3548",262,1991-09-18,27.5,23.6888,26.1848,0
"3549",263,1991-09-19,27.3,23.5205,26.0532,0
"3550",264,1991-09-20,24.9,23.3478,25.9234,0
"3551",265,1991-09-21,23.5,23.1723,25.7953,0
"3552",266,1991-09-22,22.2,22.9946,25.6699,0
"3553",267,1991-09-23,20.9,22.8152,25.5424,0
"3554",268,1991-09-24,21.4,22.6339,25.4124,0
"3555",269,1991-09-25,22.5,22.4488,25.2722,0
"3556",270,1991-09-26,22.9,22.2588,25.1187,0
"3557",271,1991-09-27,21.5,22.066,24.9453,0
"3558",272,1991-09-28,21.1,21.8713,24.7726,0
"3559",273,1991-09-29,20.7,21.675,24.5972,0
"3560",274,1991-09-30,20.4,21.4787,24.4213,0
"3561",275,1991-10-01,20.1,21.2822,24.245,0
"3562",276,1991-10-02,21.4,21.0847,24.0694,0
"3563",277,1991-10-03,21.9,20.8849,23.8938,0
"3564",278,1991-10-04,21.7,20.683,23.717,0
"3565",279,1991-10-05,20.7,20.4805,23.5344,0
"3566",280,1991-10-06,19.8,20.2781,23.3387,0
"3567",281,1991-10-07,18.8,20.0768,23.1454,0
"3568",282,1991-10-08,17.5,19.8746,22.9602,0
"3569",283,1991-10-09,17.4,19.6677,22.7663,0
"3570",284,1991-10-10,18.4,19.4553,22.5638,0
"3571",285,1991-10-11,19.7,19.2395,22.3607,0
"3572",286,1991-10-12,18.9,19.0234,22.155,0
"3573",287,1991-10-13,18.1,18.8089,21.9497,0
"3574",288,1991-10-14,17.3,18.5964,21.7493,0
"3575",289,1991-10-15,17.8,18.3837,21.5495,0
"3576",290,1991-10-16,19.2,18.169,21.3423,0
"3577",291,1991-10-17,16.5,17.9528,21.1343,0
"3578",292,1991-10-18,13.3,17.7348,20.9249,0
"3579",293,1991-10-19,13.7,17.516,20.7114,0
"3580",294,1991-10-20,14.1,17.3002,20.4958,0
"3581",295,1991-10-21,14.5,17.0892,20.2792,0
"3582",296,1991-10-22,15.3,16.88,20.0615,0
"3583",297,1991-10-23,16.5,16.6694,19.832,0
"3584",298,1991-10-24,17.5,16.4568,19.5933,0
"3585",299,1991-10-25,18.6,16.2415,19.3507,0
"3586",300,1991-10-26,19,16.0265,19.1181,0
"3587",301,1991-10-27,19.5,15.8131,18.9042,0
"3588",302,1991-10-28,19.9,15.6004,18.714,0
"3589",303,1991-10-29,17.1,15.3883,18.5198,0
"3590",304,1991-10-30,14.1,15.1774,18.3224,0
"3591",305,1991-10-31,13.2,14.9666,18.1223,0
"3592",306,1991-11-01,13.7,14.7565,17.9127,0
"3593",307,1991-11-02,14,14.5487,17.7052,0
"3594",308,1991-11-03,14.3,14.344,17.5037,0
"3595",309,1991-11-04,14.5,14.1418,17.2977,0
"3596",310,1991-11-05,11.4,13.9428,17.1032,0
"3597",311,1991-11-06,9.6,13.7469,16.9218,0
"3598",312,1991-11-07,9.6,13.5535,16.7422,0
"3599",313,1991-11-08,9.4,13.363,16.5608,0
"3600",314,1991-11-09,10.1,13.1783,16.3956,0
"3601",315,1991-11-10,10.8,12.9994,16.2363,0
"3602",316,1991-11-11,11.5,12.8252,16.0789,0
"3603",317,1991-11-12,9.9,12.6525,15.9269,0
"3604",318,1991-11-13,10.1,12.48,15.7762,0
"3605",319,1991-11-14,9.6,12.3077,15.6211,0
"3606",320,1991-11-15,10.8,12.1363,15.4594,0
"3607",321,1991-11-16,10.3,11.9662,15.3066,0
"3608",322,1991-11-17,9.8,11.7965,15.1546,0
"3609",323,1991-11-18,9.3,11.6255,15.0009,0
"3610",324,1991-11-19,10.8,11.4545,14.8449,0
"3611",325,1991-11-20,11.7,11.2817,14.6935,0
"3612",326,1991-11-21,13.5,11.1065,14.5396,0
"3613",327,1991-11-22,15.3,10.9302,14.3814,0
"3614",328,1991-11-23,14.5,10.7557,14.2314,0
"3615",329,1991-11-24,13.8,10.5838,14.0846,0
"3616",330,1991-11-25,13.1,10.4155,13.9445,0
"3617",331,1991-11-26,10.2,10.2496,13.806,0
"3618",332,1991-11-27,7.8,10.0848,13.6679,0
"3619",333,1991-11-28,7.6,9.9213,13.5156,0
"3620",334,1991-11-29,8.2,9.7608,13.3599,0
"3621",335,1991-11-30,10,9.6018,13.2046,0
"3622",336,1991-12-01,11.7,9.4434,13.0546,0
"3623",337,1991-12-02,13.5,9.2865,12.9072,0
"3624",338,1991-12-03,13.7,9.1319,12.761,0
"3625",339,1991-12-04,13.7,8.9805,12.6149,0
"3626",340,1991-12-05,8.6,8.8322,12.4736,0
"3627",341,1991-12-06,6.6,8.6849,12.3315,0
"3628",342,1991-12-07,7.4,8.5388,12.1905,0
"3629",343,1991-12-08,8.3,8.3956,12.0514,0
"3630",344,1991-12-09,9.2,8.2551,11.9139,0
"3631",345,1991-12-10,10.7,8.1163,11.7759,0
"3632",346,1991-12-11,9.6,7.9802,11.6431,0
"3633",347,1991-12-12,9.6,7.8476,11.5173,0
"3634",348,1991-12-13,10.2,7.7193,11.3912,0
"3635",349,1991-12-14,9.7,7.5941,11.2689,0
"3636",350,1991-12-15,9.2,7.4708,11.152,0
"3637",351,1991-12-16,8.6,7.3496,11.0463,0
"3638",352,1991-12-17,5.3,7.2318,10.9447,0
"3639",353,1991-12-18,5.5,7.119,10.8438,0
"3640",354,1991-12-19,4,7.0125,10.7459,0
"3641",355,1991-12-20,3.1,6.9116,10.6552,0
"3642",356,1991-12-21,3.6,6.8156,10.5678,0
"3643",357,1991-12-22,4.2,6.7238,10.4795,0
"3644",358,1991-12-23,4.7,6.6371,10.3959,0
"3645",359,1991-12-24,6.2,6.5553,10.3151,0
"3646",360,1991-12-25,5.4,6.4788,10.2468,0
"3647",361,1991-12-26,4.6,6.4067,10.1791,0
"3648",362,1991-12-27,6.1,6.3381,10.113,0
"3649",363,1991-12-28,6.2,6.2717,10.0359,0
"3650",364,1991-12-29,6.3,6.2073,9.9708,0
"3651",365,1991-12-30,6.4,6.1436,9.912,0
"3652",366,1991-12-31,6.6,6.0814,9.8597,0
"3653",1,1992-01-01,5.5,6.0213,9.8011,0
"3654",2,1992-01-02,6.4,5.9619,9.754,0
"3655",3,1992-01-03,7.6,5.9009,9.7066,0
"3656",4,1992-01-04,8,5.8374,9.6579,0
"3657",5,1992-01-05,8.5,5.7714,9.6088,0
"3658",6,1992-01-06,8.9,5.7045,9.5577,0
"3659",7,1992-01-07,7.6,5.6374,9.5112,0
"3660",8,1992-01-08,6.8,5.5699,9.4651,0
"3661",9,1992-01-09,7.3,5.502,9.4208,0
"3662",10,1992-01-10,8.3,5.4345,9.3773,0
"3663",11,1992-01-11,8.1,5.3679,9.3366,0
"3664",12,1992-01-12,7.8,5.3027,9.2992,0
"3665",13,1992-01-13,7.6,5.2419,9.2635,0
"3666",14,1992-01-14,9.2,5.1875,9.2345,0
"3667",15,1992-01-15,7.6,5.1398,9.2087,0
"3668",16,1992-01-16,4.4,5.0977,9.1791,0
"3669",17,1992-01-17,1.4,5.0599,9.1451,0
"3670",18,1992-01-18,1.4,5.0258,9.1079,0
"3671",19,1992-01-19,1.4,4.9966,9.0707,0
"3672",20,1992-01-20,1.4,4.973,9.0358,0
"3673",21,1992-01-21,2,4.9544,9.0038,0
"3674",22,1992-01-22,3.5,4.9391,8.9754,0
"3675",23,1992-01-23,5.2,4.9265,8.9499,0
"3676",24,1992-01-24,7.5,4.9139,8.9199,0
"3677",25,1992-01-25,6,4.8999,8.8824,0
"3678",26,1992-01-26,4.6,4.8851,8.8452,0
"3679",27,1992-01-27,3.1,4.872,8.8028,0
"3680",28,1992-01-28,5,4.8633,8.7773,0
"3681",29,1992-01-29,5.2,4.8586,8.7576,0
"3682",30,1992-01-30,5,4.8581,8.7475,0
"3683",31,1992-01-31,5.5,4.8622,8.7375,0
"3684",32,1992-02-01,4.8,4.8726,8.7415,0
"3685",33,1992-02-02,4,4.8924,8.7525,0
"3686",34,1992-02-03,3.3,4.9223,8.7727,0
"3687",35,1992-02-04,3.9,4.9625,8.8017,0
"3688",36,1992-02-05,4.6,5.0122,8.8341,0
"3689",37,1992-02-06,4,5.0696,8.8699,0
"3690",38,1992-02-07,4.5,5.1328,8.9063,0
"3691",39,1992-02-08,4,5.201,8.9503,0
"3692",40,1992-02-09,3.6,5.274,8.9925,0
"3693",41,1992-02-10,3.1,5.3505,9.0341,0
"3694",42,1992-02-11,3.7,5.4305,9.0845,0
"3695",43,1992-02-12,4.5,5.5118,9.1323,0
"3696",44,1992-02-13,3.5,5.5905,9.1835,0
"3697",45,1992-02-14,3.8,5.6664,9.2309,0
"3698",46,1992-02-15,5.1,5.7408,9.2794,0
"3699",47,1992-02-16,6.5,5.8161,9.3361,0
"3700",48,1992-02-17,7.8,5.8954,9.4032,0
"3701",49,1992-02-18,7.6,5.979,9.4767,0
"3702",50,1992-02-19,8.1,6.0658,9.5594,0
"3703",51,1992-02-20,8.6,6.1568,9.6482,0
"3704",52,1992-02-21,8.4,6.2525,9.7369,0
"3705",53,1992-02-22,9.4,6.3542,9.8334,0
"3706",54,1992-02-23,10.3,6.4623,9.9337,0
"3707",55,1992-02-24,11.3,6.5795,10.0538,0
"3708",56,1992-02-25,9.6,6.7067,10.1928,0
"3709",57,1992-02-26,9.2,6.842,10.3477,0
"3710",58,1992-02-27,7.7,6.9817,10.5159,0
"3711",59,1992-02-28,8.6,7.1233,10.6843,0
"3712",60,1992-02-29,8.5,7.2665,10.8546,0
"3713",61,1992-03-01,8.4,7.4115,11.0181,0
"3714",62,1992-03-02,8.3,7.5576,11.189,0
"3715",63,1992-03-03,9.6,7.704,11.3502,0
"3716",64,1992-03-04,9.6,7.8476,11.5052,0
"3717",65,1992-03-05,9.2,7.9885,11.6533,0
"3718",66,1992-03-06,10.3,8.126,11.795,0
"3719",67,1992-03-07,11.3,8.2612,11.936,0
"3720",68,1992-03-08,12.3,8.3979,12.0772,0
"3721",69,1992-03-09,13.3,8.539,12.2196,0
"3722",70,1992-03-10,13.7,8.6832,12.3589,0
"3723",71,1992-03-11,14.2,8.8316,12.507,0
"3724",72,1992-03-12,8.8,8.9842,12.6572,0
"3725",73,1992-03-13,8.8,9.1412,12.8028,0
"3726",74,1992-03-14,7.9,9.3031,12.9569,0
"3727",75,1992-03-15,7,9.4715,13.1131,0
"3728",76,1992-03-16,6.2,9.6452,13.2698,0
"3729",77,1992-03-17,5.5,9.8222,13.4245,0
"3730",78,1992-03-18,7.7,10.0014,13.5852,0
"3731",79,1992-03-19,8.2,10.1795,13.7394,0
"3732",80,1992-03-20,7.3,10.3563,13.9018,0
"3733",81,1992-03-21,7.4,10.5331,14.0602,0
"3734",82,1992-03-22,7.5,10.7089,14.2141,0
"3735",83,1992-03-23,7.6,10.8835,14.3766,0
"3736",84,1992-03-24,6.3,11.0559,14.5345,0
"3737",85,1992-03-25,7.7,11.2245,14.6995,0
"3738",86,1992-03-26,9.4,11.3884,14.8566,0
"3739",87,1992-03-27,9.2,11.5488,15.0043,0
"3740",88,1992-03-28,9.4,11.7091,15.1545,0
"3741",89,1992-03-29,9.5,11.8693,15.3095,0
"3742",90,1992-03-30,9.6,12.0308,15.4585,0
"3743",91,1992-03-31,11.8,12.1943,15.6099,0
"3744",92,1992-04-01,10.7,12.3604,15.7625,0
"3745",93,1992-04-02,10.7,12.5287,15.9123,0
"3746",94,1992-04-03,8.2,12.6979,16.0677,0
"3747",95,1992-04-04,8.5,12.869,16.2253,0
"3748",96,1992-04-05,8.8,13.0438,16.386,0
"3749",97,1992-04-06,9.1,13.2223,16.5527,0
"3750",98,1992-04-07,10.9,13.4043,16.7245,0
"3751",99,1992-04-08,13,13.5859,16.8968,0
"3752",100,1992-04-09,14.7,13.7649,17.0704,0
"3753",101,1992-04-10,15.3,13.9414,17.2455,0
"3754",102,1992-04-11,15.5,14.1148,17.4184,0
"3755",103,1992-04-12,15.7,14.2856,17.5934,0
"3756",104,1992-04-13,16,14.4541,17.7742,0
"3757",105,1992-04-14,12.9,14.621,17.9543,0
"3758",106,1992-04-15,13.3,14.7856,18.1308,0
"3759",107,1992-04-16,12.7,14.9473,18.3055,0
"3760",108,1992-04-17,13.3,15.1081,18.4823,0
"3761",109,1992-04-18,13.9,15.2684,18.6515,0
"3762",110,1992-04-19,14.5,15.4306,18.8206,0
"3763",111,1992-04-20,15.1,15.5963,18.9901,0
"3764",112,1992-04-21,16.3,15.7656,19.1611,0
"3765",113,1992-04-22,18.8,15.9379,19.3378,0
"3766",114,1992-04-23,20.4,16.1108,19.5075,0
"3767",115,1992-04-24,20.6,16.283,19.68,0
"3768",116,1992-04-25,18.8,16.4571,19.8464,0
"3769",117,1992-04-26,17,16.6356,20.0149,0
"3770",118,1992-04-27,15.3,16.8179,20.1844,0
"3771",119,1992-04-28,15.8,16.9994,20.3413,0
"3772",120,1992-04-29,15,17.1802,20.4866,0
"3773",121,1992-04-30,15,17.3582,20.6351,0
"3774",122,1992-05-01,15.5,17.533,20.7789,0
"3775",123,1992-05-02,16.6,17.7044,20.9309,0
"3776",124,1992-05-03,17.7,17.8725,21.0838,0
"3777",125,1992-05-04,18.8,18.04,21.2405,0
"3778",126,1992-05-05,18.3,18.2095,21.4041,0
"3779",127,1992-05-06,14.7,18.3775,21.5653,0
"3780",128,1992-05-07,11.5,18.5419,21.7265,0
"3781",129,1992-05-08,11.5,18.7034,21.8887,0
"3782",130,1992-05-09,13.3,18.8654,22.061,0
"3783",131,1992-05-10,15.1,19.0297,22.243,0
"3784",132,1992-05-11,16.9,19.1987,22.4302,0
"3785",133,1992-05-12,16.8,19.3728,22.6215,0
"3786",134,1992-05-13,16.6,19.5508,22.8175,0
"3787",135,1992-05-14,16.6,19.7297,23.0056,0
"3788",136,1992-05-15,18.2,19.9083,23.1873,0
"3789",137,1992-05-16,18,20.0858,23.3671,0
"3790",138,1992-05-17,17.7,20.2644,23.5461,0
"3791",139,1992-05-18,17.5,20.4443,23.7201,0
"3792",140,1992-05-19,20.4,20.6264,23.8924,0
"3793",141,1992-05-20,16.5,20.8096,24.0728,0
"3794",142,1992-05-21,16.8,20.991,24.2427,0
"3795",143,1992-05-22,18.8,21.1689,24.4173,0
"3796",144,1992-05-23,18.4,21.3426,24.5876,0
"3797",145,1992-05-24,17.9,21.5142,24.7548,0
"3798",146,1992-05-25,17.4,21.6873,24.9236,0
"3799",147,1992-05-26,16.9,21.8602,25.094,0
"3800",148,1992-05-27,15.5,22.0319,25.2609,0
"3801",149,1992-05-28,16,22.2011,25.4295,0
"3802",150,1992-05-29,17.9,22.3695,25.6025,0
"3803",151,1992-05-30,18.2,22.5376,25.7773,0
"3804",152,1992-05-31,18.5,22.7064,25.9525,0
"3805",153,1992-06-01,18.8,22.8766,26.1302,0
"3806",154,1992-06-02,20,23.0476,26.2985,0
"3807",155,1992-06-03,20.1,23.2198,26.4651,0
"3808",156,1992-06-04,21.6,23.3916,26.626,0
"3809",157,1992-06-05,21,23.5615,26.7773,0
"3810",158,1992-06-06,22.7,23.7317,26.9273,0
"3811",159,1992-06-07,24.3,23.9032,27.0724,0
"3812",160,1992-06-08,26,24.0759,27.2134,0
"3813",161,1992-06-09,27.2,24.2477,27.3438,0
"3814",162,1992-06-10,24.6,24.4164,27.4598,0
"3815",163,1992-06-11,23.9,24.5795,27.5645,0
"3816",164,1992-06-12,23.4,24.7359,27.6605,0
"3817",165,1992-06-13,23.7,24.8861,27.7494,0
"3818",166,1992-06-14,23.9,25.0319,27.8335,0
"3819",167,1992-06-15,24.2,25.1744,27.9174,0
"3820",168,1992-06-16,25,25.316,28.0045,0
"3821",169,1992-06-17,23.1,25.4559,28.0974,0
"3822",170,1992-06-18,23.5,25.5936,28.1961,0
"3823",171,1992-06-19,24.5,25.7273,28.2965,0
"3824",172,1992-06-20,23.3,25.8563,28.3893,0
"3825",173,1992-06-21,22.1,25.9813,28.4834,0
"3826",174,1992-06-22,20.9,26.1027,28.5679,0
"3827",175,1992-06-23,21.3,26.2216,28.6518,0
"3828",176,1992-06-24,22.5,26.3383,28.7346,0
"3829",177,1992-06-25,23.1,26.4523,28.8157,0
"3830",178,1992-06-26,23.1,26.563,28.8904,0
"3831",179,1992-06-27,23.6,26.6678,28.9626,0
"3832",180,1992-06-28,24,26.7672,29.0271,0
"3833",181,1992-06-29,24.5,26.8619,29.086,0
"3834",182,1992-06-30,25,26.9528,29.1449,0
"3835",183,1992-07-01,25.6,27.0414,29.2005,0
"3836",184,1992-07-02,26.2,27.1281,29.2537,0
"3837",185,1992-07-03,26.5,27.213,29.3084,0
"3838",186,1992-07-04,26.8,27.296,29.3612,0
"3839",187,1992-07-05,27,27.3757,29.4129,0
"3840",188,1992-07-06,27.3,27.4499,29.4668,0
"3841",189,1992-07-07,26,27.5184,29.5229,0
"3842",190,1992-07-08,26.3,27.582,29.5798,0
"3843",191,1992-07-09,26.3,27.6402,29.6326,0
"3844",192,1992-07-10,27.5,27.6927,29.6831,0
"3845",193,1992-07-11,28,27.7402,29.7347,0
"3846",194,1992-07-12,28.6,27.7829,29.786,0
"3847",195,1992-07-13,29.1,27.8206,29.8372,0
"3848",196,1992-07-14,30,27.8548,29.8848,0
"3849",197,1992-07-15,29.4,27.8865,29.9292,0
"3850",198,1992-07-16,28.7,27.9169,29.9714,0
"3851",199,1992-07-17,29.2,27.9444,30.0087,0
"3852",200,1992-07-18,28.8,27.9678,30.0383,0
"3853",201,1992-07-19,28.4,27.9858,30.0626,0
"3854",202,1992-07-20,28,27.9986,30.0835,0
"3855",203,1992-07-21,29.1,28.0071,30.1031,0
"3856",204,1992-07-22,29.3,28.0115,30.1195,0
"3857",205,1992-07-23,27.4,28.0125,30.1343,0
"3858",206,1992-07-24,27.3,28.0114,30.1425,0
"3859",207,1992-07-25,26.9,28.0066,30.1494,0
"3860",208,1992-07-26,26.4,27.9965,30.1491,0
"3861",209,1992-07-27,26,27.9814,30.1397,0
"3862",210,1992-07-28,25.6,27.964,30.1236,0
"3863",211,1992-07-29,26,27.946,30.1066,0
"3864",212,1992-07-30,26.8,27.9273,30.0879,0
"3865",213,1992-07-31,27.3,27.9065,30.0648,0
"3866",214,1992-08-01,27.2,27.883,30.0394,0
"3867",215,1992-08-02,27.1,27.856,30.011,0
"3868",216,1992-08-03,27,27.8249,29.9775,0
"3869",217,1992-08-04,27.3,27.7882,29.9411,0
"3870",218,1992-08-05,25.6,27.7479,29.9016,0
"3871",219,1992-08-06,27,27.7059,29.8585,0
"3872",220,1992-08-07,25.7,27.6622,29.8121,0
"3873",221,1992-08-08,26.1,27.6167,29.7584,0
"3874",222,1992-08-09,26.6,27.57,29.7023,0
"3875",223,1992-08-10,27,27.5237,29.6463,0
"3876",224,1992-08-11,27.9,27.4778,29.586,0
"3877",225,1992-08-12,27.7,27.431,29.5214,0
"3878",226,1992-08-13,27.2,27.3837,29.4557,0
"3879",227,1992-08-14,24.5,27.3348,29.3924,0
"3880",228,1992-08-15,24.3,27.2835,29.333,0
"3881",229,1992-08-16,24.1,27.2285,29.274,0
"3882",230,1992-08-17,24,27.1694,29.2139,0
"3883",231,1992-08-18,24.9,27.1069,29.1556,0
"3884",232,1992-08-19,26.2,27.0421,29.0931,0
"3885",233,1992-08-20,26.6,26.9747,29.027,0
"3886",234,1992-08-21,25,26.9039,28.957,0
"3887",235,1992-08-22,24.8,26.8306,28.8829,0
"3888",236,1992-08-23,24.6,26.7548,28.8075,0
"3889",237,1992-08-24,24.5,26.676,28.7297,0
"3890",238,1992-08-25,26,26.5965,28.6496,0
"3891",239,1992-08-26,26.9,26.5178,28.568,0
"3892",240,1992-08-27,27.3,26.4389,28.4884,0
"3893",241,1992-08-28,27.1,26.3571,28.4114,0
"3894",242,1992-08-29,26.4,26.2708,28.3342,0
"3895",243,1992-08-30,25.7,26.1795,28.2549,0
"3896",244,1992-08-31,25,26.0833,28.1719,0
"3897",245,1992-09-01,26,25.9823,28.0858,0
"3898",246,1992-09-02,26,25.8775,27.9952,0
"3899",247,1992-09-03,25.3,25.7696,27.9069,0
"3900",248,1992-09-04,25.5,25.6585,27.8143,0
"3901",249,1992-09-05,25.4,25.5425,27.7208,0
"3902",250,1992-09-06,25.3,25.4208,27.623,0
"3903",251,1992-09-07,25.3,25.2953,27.5164,0
"3904",252,1992-09-08,25.2,25.1678,27.4077,0
"3905",253,1992-09-09,26.8,25.0387,27.3005,0
"3906",254,1992-09-10,27.2,24.9054,27.187,0
"3907",255,1992-09-11,27.2,24.767,27.0722,0
"3908",256,1992-09-12,25.7,24.6236,26.9556,0
"3909",257,1992-09-13,24.2,24.4754,26.834,0
"3910",258,1992-09-14,22.6,24.3235,26.7079,0
"3911",259,1992-09-15,22.1,24.1692,26.5764,0
"3912",260,1992-09-16,23.2,24.012,26.4447,0
"3913",261,1992-09-17,24.7,23.8522,26.3147,0
"3914",262,1992-09-18,26,23.6888,26.1848,0
"3915",263,1992-09-19,25.2,23.5205,26.0532,0
"3916",264,1992-09-20,24.4,23.3478,25.9234,0
"3917",265,1992-09-21,23.5,23.1723,25.7953,0
"3918",266,1992-09-22,25.2,22.9946,25.6699,0
"3919",267,1992-09-23,25.6,22.8152,25.5424,0
"3920",268,1992-09-24,21.9,22.6339,25.4124,0
